question,answer
Am I entitled to getting the National Minimum Wage?,Are you an employee?
Can I charge VAT on this?,Are you a member of the staff?
Do I need to apply for an EAD?,No
Can this benefit reduced or stopped?,Is it your Attendance Allowance?
Can I claim bereavement benefits?,No
Can I qualify for Working Tax Credit?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,No
Can I pay for other costs through Centrepay?,No
Do I have authority to lodge data for file upload?,Yes
Do I qualify for this benefit program?,Do you have very low income?
Do I need to register for VAT in this country?,No
Is this a legal commerical airport?,Are there  adequate toilet facilities approved by the proper authority in the community in which the commercial airport is located?
Can I access the Aged Care Online Services in my browser?,Yes
Am I entitled to the National Minimum Wage?,No
Do I need to apply for an EAD?,Yes
Can I apply for Tier 4 student visa for this course?,Is it a part-time leading to a qualification that’s at least level 7 on the Ofqual register
Do I need to carry on paying National Insurance?,Are you currently abroad?
Can I be considered for this program?,Yes
Do I need a plant passport?,Yes
Do I have to file an annual income tax return for my business?,Yes
Can I obtain an LDP?,Yes
Do I need a certificate or to follow special rules to export this product?,No
Can I apply to bring a dependant to the UK?,No
Can I export this product to North Korea?,"Is the product a hand knotted carpet, hand woven rug or tapestry?"
Can I claim my Medicare benefit?,Did your doctor's practice help claim it?
Does this payment count as paid work?,No
Can I get Crisis Payment?,Are you experiencing family and domestic violence?
Can my payments go up?,Yes
Will I be asked questions by this person?,"Is this person your representative (if you have one), such as a lawyer, friend, family member or someone from an advice centre?"
Could my State Pension be affected?,No
Do I need to follow special rules to export this?,Yes
Can I use Aged Care Online Claiming?,No
Can I apply for Tier 4 student visa for this course?,Yes
Am I eligible for the SBA 7(a) program?,Yes
Can I use Aged Care Online Claiming?,No
Can I use the Centrelink Business Online Services today?,No
Do I qualify for Guarantee Credit?,No
Am I eligible for the SBA 7(a) program?,Yes
Do I need a Human Services PKL certificate?,No
Do I need a licence to export these chemicals?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Are you a family farmer or fisherman?
Can this fund help me?,Yes
Can this benefit be reduced or stopped?,have you commited benefit fraud?
Can I get a health certificate?,No
Can my tax credit go up or down?,Did your family or work life change?
Can I apply to extend my leave to study?,No
Can I use the minimum wage calculator?,No
Can my au pair be classified as a worker?,Yes
Can I use the loan for this expense?,Yes
Can I access the Aged Care Online Services in my browser?,Is your browser set to allow Secure Sockets Layer (SSL)?
Can I get a CAS?,No
Am I committing benefit fraud?,"Did you deliberately not report a change in your circumstances while abroad, like buying a property, working, or claiming a pension or benefit from another country?"
Can I use the loan for this expense?,No
Am I eligible for the loan?,No
Can I be an individual borrower?,Yes
Can I get Winter Fuel Payment?,No
Could I be entitled to take Shared Parental Leave?,Yes
Will I be asked questions by this person?,Is this person the judge?
Can I apply to become a tax credit appointee?,No
Could I inherit part of my deceased partner’s Additional State Pension?,Would your partner have reached State Pension age on or after 6 April 2016?
Should I read the Credit Representatives Policy?,Yes
Can I export germplasm?,Have you registered your premises?
Can I access Aged Care Online Services?,Are you a Home Care provider?
Will I get up to £2010?,Yes
Can I get Cold Weather Payments?,Do you have a child under 5 living with you?
Can I export this plant?,Yes
Can I export this product to North Korea?,No
Do I need a licence to export these chemicals?,Yes
Am I able to claim the new State Pension?,No
Does the loan meet my needs?,Yes
Am I allowed to purchase marijuana plants?,No
Can I export this product to North Korea?,is it coins and banknotes that aren’t legal tender?
Can I export this product to North Korea?,No
Can my Business use Centrepay?,Will you have other payment methods to give your customers options on how they want to pay for goods and services?
Could I get less than the new full State Pension?,Irrelevant
Do I qualify for assistance?,No
Can my other benefits be reduced?,Yes
Can I get Winter Fuel Payment?,No
Have I contributed through my National Insurance contributions?,Were you caring for a sick or disabled person more than 20 hours a week and claiming Carer’s Credit?
Can my payments go up?,Yes
Can I use the loan for this expense?,Will it be used for machinery and equipment?
Does this insurance cover this Veteran?,Did the veteran  apply for S-DVI because of a continued mental incompetence due to a service-connected disability?
Can I get an additional one-year period after enactment to enroll for VA health care?,Yes
Do I qualify for assistance?,No
Can I have a cooperative in this location?,"Is the location within the smaller of either: 1,000 feet of schools, playgrounds, recreation centers, daycare centers, or any facility restricted to people 21 years or older, or the area restricted by ordinances?"
Can I make a new claim for Working Tax Credit?,No
Can I export this?,Yes
Can I get contribution-based ESA?,Yes
Do I need to wear a seat belt?,No
Do I need a plant passport?,Yes
Do I need to pay National Insurance?,Do you need to qualify for the State Pension?
Can I access the Aged Care Online Services in my browser?,No
Do I qualify for Guarantee Credit?,No
Is this income suitable for me?,Yes
Can this benefit be reduced or stopped?,Yes
Am I entitled to the correct minimum wage,Yes
Do I need a certificate or to follow special rules to export this product?,Yes
Can I get a CAS?,Yes
Can this program assist me?,No
Does the SBA loan meet my needs?,No
May I be able to get Child Tax Credit?,Yes
Can I get a CAS?,No
Can I keep the full amount of Age Pension?,Yes
Can I export this product to North Korea?,No
Can I use the loan for this expense?,No
Can this benefit reduced or stopped?,Is the benefit a Personal Independence Payment?
Can this decision be reconsidered?,Does it say it can say on your original decision letter?
Is this a digital service?,Yes
Do I need a plant passport?,No
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Is it for an Employment and Support Allowance?
Do I need to wear protective headgear?,Are you using a learner's permit?
Does this program meet my needs?,No
Can I grow up to 15 plants?,Yes
Is a collateral required?,Can you pledge that collateral is available?
May I be able to get tax credits?,Yes
Can my payments go up?,Yes
Can this program help me?,Are you a state?
Can I get Winter Fuel Payment?,Do you live in Greece?
Can I use the market value of the property when working out my gain?,Yes
Have I logged out properly?,No
Am I in Priority Group 1-3?,Are you a service-connected Veteran who was awarded the Purple Heart Medal or Medal of Honor?
Can I get Cold Weather Payments?,Yes
Can I get a low-interest loan towards my deposit?,No
Can my Business use Centrepay?,Does your business have registration?
Am I eligible for this benefit program?,No
Do I need a Human Services PKL certificate?,No
Can openings be available to me?,No
Can I register for VAT voluntarily?,Yes
Can I keep the full amount of Age Pension?,No
Can the regular amount of benefit I get be reduced?,Yes
Do I have the right to return to my job?,Has your parental leave been unpaid?
Do I need a licence to export these chemicals?,Do the chemicals have military or potential military uses?
Am I eligible for this benefit?,Did you suffer losses in income due to inability or reduced capacity to fish as a result of the damage sustained by oil and gas obstructions on the U.S. Outer Continental Shelf
Do I need a supplier document?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Does it involve a municipality?
Can I get Winter Fuel Payment?,"Do you have a genuine link with the UK social security system, such as having lived or worked in the UK for most of your life?"
